id,name,measurement_unit
2188,ячневая крупа,г
2187,ячмень,г
2186,ячменные хлопья,г
2185,японская крошка панко,г
2184,яйца перепелиные,г
2183,яйца куриные крупные,г
2182,яйца куриные,г
2181,яичный порошок,ст. л.
2180,яичный меланж,г
2179,яичные желтки крупные,г
2178,яичные желтки вареные,шт.
2177,яичные желтки,г
2176,яичные белки,г
2175,ягоды лесные замороженные,г
2174,ягоды лесные,г
2173,ягоды замороженные,г
2172,ягоды вяленые,по вкусу
2171,ягоды,г
2170,ягодный соус кислый,г
2169,ягодный сок,г
2168,ягодный сироп,г
2167,ягодное желе,г
2166,ягодное варенье,ст. л.
2165,ягнячья корейка,г
2164,ягнячья голень нарубленная,г
2163,ягнячьи отбивные на косточке,шт.
2162,ягнятина фарш,г
2161,ягнятина кострец,г
2160,ягнятина,г
2159,яблочный уксус,г
2158,яблочный соус,ст. л.
2157,яблочный сок,г
2156,яблочный сироп,ст. л.
2155,яблочный джем,г
2154,яблочные чипсы,стакан
2153,яблочное пюре,г
2152,яблочное повидло,г
2151,яблочное варенье,г
2150,яблочная эссенция,ч. л.
2149,яблоки сушеные,г
2148,яблоки сладкие,г
2147,яблоки нетвердых сортов,г
2146,яблоки моченые,шт.
2145,яблоки красные,шт.
2144,яблоки зеленые,г
2143,яблоки гренни смит,кг
2142,яблоки голден,г
2141,яблоки гала,г
2140,яблоки антоновка,кг
2139,яблоки,г
2138,эстрагон сушеный,веточка
2137,эстрагон,г
2136,эскалоп,г
2135,эмменталь,г
2134,эль,мл
2133,эдам,г
2132,эгг-ног,стакан
2131,щука филе,г
2130,щука,г
2129,щавель свежий,веточка
2128,щавель замороженный,г
2127,шрот,г
2126,шпроты в масле,г
2125,шпроты,г
2124,шпинат свежий,г
2123,шпинат молодой,г
2122,шпинат замороженный,г
2121,шпинат,г
2120,шпик копченый,г
2119,шпик,шт.
2118,шортенинг,стакан
2117,шоколад черный горький 85%,г
2116,шоколад черный горький 75%,ч. л.
2115,шоколад черный горький 70%,г
2114,шоколад черный горький,г
2113,шоколад с орехами,г
2112,шоколад полусладкий,г
2111,шоколадный соус,г
2110,шоколадный сироп,г
2109,шоколадный ликер,г
2108,шоколадные шарики из готовых завтраков,горсть
2107,шоколадные хлопья,г
2106,шоколадные конфеты,г
2105,шоколадные капли белые,г
2104,шоколадные капли,г
2103,шоколадные горошины,г
2102,шоколадно-ореховая паста,г
2101,шоколадное масло,г
2100,шоколадная стружка,г
2099,шоколадная паста,г
2098,шоколад мятный,г
2097,шоколад молочный,г
2096,шоколад горький с апельсиновой цедрой,г
2095,шоколад белый,г
2094,шоколад,г
2093,шнитт-лук,стебель
2092,шнапс,г
2091,шиповниковый сироп,г
2090,шиповник,г
2089,шелковица сушеная,г
2088,шелковица,г
2087,шафран нити,шт.
2086,шафран молотый,ч. л.
2085,шафран имеретинский,г
2084,шафран,г
2083,шампиньоны свежие,г
2082,шампиньоны маринованные,г
2081,шампиньоны консервированные,г
2080,шампиньоны замороженные,г
2079,шампиньоны,по вкусу
2078,шампанское сухое,ст. л.
2077,шампанское советское,стакан
2076,шампанское,г
2075,шалфей сушеный,лист
2074,шалфей свежий,пучок
2073,шалфей,г
2072,чоризо,г
2071,чипсы,г
2070,чипотле молотый,щепотка
2069,чиа семена,г
2068,чиабатта,кусок
2067,чечил спагетти,г
2066,чечевица красная,г
2065,чечевица зеленая,г
2064,чечевица вареная,ст. л.
2063,чечевица,г
2062,чесночный порошок,г
2061,чесночное масло,по вкусу
2060,чесночная соль,щепотка
2059,чеснок сушеный,г
2058,чеснок молодой,г
2057,чеснок,г
2056,черносмородиновый джем,г
2055,черносмородиновое варенье,г
2054,чернослив копченый без косточек,г
2053,чернослив вяленый,г
2052,чернослив без косточек,г
2051,чернослив,г
2050,черничный джем,стакан
2049,чернила каракатицы,г
2048,черника замороженная,г
2047,черника,г
2046,черная смородина,г
2045,черешня консервированная без косточек,ст. л.
2044,черешня,г
2043,черешневый джем,г
2042,черемша,г
2041,черемуховая мука,г
2040,черемуха,г
2039,чеддер,г
2038,чатни манго,г
2037,чай эрл грей,стакан
2036,чай черный со специями,пакет
2035,чай черный крупнолистовой,ч. л.
2034,чай черный,г
2033,чай ройбуш,ст. л.
2032,чай красный,г
2031,чай копченый лапсанг сушонг,г
2030,чай зеленый,пакетик
2029,чай жасминовый,ст. л.
2028,чай дарджилинг,пакетик
2027,чабрец сушеный,г
2026,чабрец,г
2025,чабер,г
2024,цыплята-корнишоны,шт.
2023,цыплята,г
2022,цукини цветы,шт.
2021,цукини,г
2020,цукаты,г
2019,цитрусовый свежевыжатый сок,мл
2018,цитрусовые цукаты,шт.
2017,цитроновые цукаты,горсть
2016,цикорий,ч. л.
2015,цесарка тушка,г
2014,хурма спелая,г
2013,хурма,г
2012,хрен со сливками,г
2011,хрен протертый,г
2010,хрен,г
2009,хмель,ст. л.
2008,хмели-сунели,г
2007,хлорид кальция,г
2006,хлопья быстрого приготовления,стакан
2005,хлопья 7 злаков,ст. л.
2004,хлопья 5 злаков,г
2003,хлопья 4 злака,г
2002,хлебцы пшенично-ржаные цельнозерновые,г
2001,хлеб цельнозерновой,г
2000,хлеб с кунжутом,кусок
1999,хлеб серый,г
1998,хлеб ржаной,г
1997,хлебная крошка,г
1996,хлеб для сэндвичей,г
1995,хлеб датский ржаной,г
1994,хлеб бородинский,кусок
1993,хлеб белый сухой,г
1992,хлеб белый,г
1991,хлеб 7 злаков,батон
1990,хлеб,г
1989,хересный уксус,ч. л.
1988,херес,стакан
1987,хек филе,г
1986,хек,г
1985,хамон,г
1984,халуми,г
1983,халва подсолнечная,г
1982,халва ванильная,г
1981,халва,г
1980,фунчоза,г
1979,фундучная мука,г
1978,фундук,г
1977,фрукты консервированные,г
1976,фрукты,г
1975,фруктоза,г
1974,фруктовый сок без сахара,стакан
1973,фруктовый сок,г
1972,фруктовый сироп,г
1971,фрукт дракона,шт.
1970,фрикадельки,г
1969,форель холодного копчения,г
1968,форель филе,г
1967,форель стейки,шт.
1966,форель слабосоленая,г
1965,форель озерная свежая,шт.
1964,форель горячего копчения,г
1963,форель вареная,г
1962,форель,г
1961,фокачча,по вкусу
1960,фисташковое масло,г
1959,фисташковая паста,г
1958,фисташковая мука,г
1957,фисташки рубленые,г
1956,фисташки очищенные несоленые,горсть
1955,фисташки очищенные,г
1954,фисташки,г
1953,финики иранские без косточек,шт.
1952,финики иранские,г
1951,финики без косточек,стакан
1950,финики,г
1949,филе палтуса,шт.
1948,филе лосося,г
1947,филе красного окуня,шт.
1946,физалис,по вкусу
1945,фиалковый сироп,г
1944,фиалки засахаренные,шт.
1943,феттучине,г
1942,фетакса,г
1941,фетаки,г
1940,фета,г
1939,фестонате,г
1938,фенхель семена молотые,г
1937,фенхель семена,г
1936,фенхель,г
1935,фейхоа,г
1934,фасоль черный глаз,г
1933,фасоль стручковая консервированная,г
1932,фасоль стручковая замороженная,г
1931,фасоль стручковая,г
1930,фасоль спаржевая вареная,г
1929,фасоль пинто,г
1928,фасоль молодая замороженная,г
1927,фасоль красная консервированная,г
1926,фасоль красная вареная,стакан
1925,фасоль красная,г
1924,фасоль консервированная,г
1923,фасоль кидни красная,г
1922,фасоль кенийская,горсть
1921,фасоль зеленая стручковая,г
1920,фасоль белая лима,г
1919,фасоль белая консервированная,г
1918,фасоль белая,г
1917,фасоль,г
1916,фарш (свинина и курица),г
1915,фарш (баранина и говядина),г
1914,фазан,г
1913,уцхо-сунели,г
1912,утка тушка,тушка
1911,утка печеная,г
1910,утка,по вкусу
1909,утиные ножки,по вкусу
1908,утиные бедрышки,г
1907,утиное филе,г
1906,утиная печень,г
1905,утиная грудка,г
1904,устрицы,г
1903,урюк,г
1902,улитки виноградные,шт.
1901,улитки,г
1900,уксус столовый,г
1899,уксусная эссенция,г
1898,уксус из сидра,ст. л.
1897,уксус 9%,г
1896,уксус,г
1895,укроп сушеный,г
1894,укроп свежий,г
1893,укропное семя,ч. л.
1892,укроп,г
1891,угурт,г
1890,угорь копченый,г
1889,угорь,г
1888,тюлька свежая,г
1887,тыквенные семечки,г
1886,тыквенное пюре,г
1885,тыквенное масло,шт.
1884,тыква,г
1883,тушенка,г
1882,тунец филе,г
1881,тунец консервированный,г
1880,тунец,по вкусу
1879,трюфель черный,шт.
1878,трюфельное масло,ст. л.
1877,трюфельная крошка,г
1876,трюфель,г
1875,треска филе,г
1874,треска печень,г
1873,треска,г
1872,травы сухие,г
1871,травы пряные с перцем,ч. л.
1870,травы ароматные,г
1869,тофу,г
1868,тортильони,г
1867,тортильи,по вкусу
1866,топленое масло,г
1865,топинамбур,г
1864,тоник,бутылка
1863,томатный соус с базиликом,г
1862,томатный соус острый,г
1861,томатный соус итальянский,г
1860,томатный соус,г
1859,томатный сок,г
1858,томатный порошок,г
1857,томатный концентрат,г
1856,томатное пюре,г
1855,томатная паста,г
1854,тмин молотый,г
1853,тмин,г
1852,ткемали,г
1851,тимьян сушеный,г
1850,тимьян свежий,по вкусу
1849,тимьян лимонный,веточка
1848,тимьян,горсть
1847,тильзитер,г
